start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
46.1908,46.6900,0.4992,60,C4,261.626,76,0.6004
45.9818,46.1908,0.2090,60,C4,261.626,85,0.6686
45.6916,46.5275,0.8359,48,C3,130.813,50,0.3950
45.6787,46.1676,0.4889,64,E4,329.628,68,0.5373
45.6787,45.9818,0.3031,60,C4,261.626,84,0.6628
45.4929,45.6787,0.1858,60,C4,261.626,81,0.6366
45.4929,45.6090,0.1161,48,C3,130.813,40,0.3174
45.2491,45.3768,0.1277,67,G4,391.995,38,0.2972
45.1214,45.2143,0.0929,66,F#4,369.994,47,0.3677
45.1214,45.4929,0.3715,60,C4,261.626,64,0.5071
44.9124,45.0982,0.1858,63,D#4,311.127,71,0.5630
44.7847,44.9124,0.1277,63,D#4,311.127,54,0.4289
44.7847,45.1214,0.3367,60,C4,261.626,68,0.5366
44.5989,44.7847,0.1858,60,C4,261.626,79,0.6183
44.2739,44.5525,0.2786,63,D#4,311.127,52,0.4055
44.2739,44.5989,0.3251,60,C4,261.626,77,0.6049
44.0881,44.2739,0.1858,60,C4,261.626,84,0.6652
44.0881,44.2855,0.1974,48,C3,130.813,53,0.4201
43.9372,44.0881,0.1509,48,C3,130.813,51,0.4039
43.7514,44.0881,0.3367,60,C4,261.626,63,0.4938
43.4251,43.7514,0.3264,60,C4,261.626,79,0.6247
43.2393,43.4251,0.1858,60,C4,261.626,70,0.5487
42.9258,43.2161,0.2902,63,D#4,311.127,52,0.4065
42.9258,43.2393,0.3135,60,C4,261.626,80,0.6262
42.7401,42.9258,0.1858,60,C4,261.626,81,0.6406
41.6591,41.7881,0.1290,60,C4,261.626,38,0.3008
41.6591,42.0086,0.3496,55,G3,195.998,56,0.4420
41.6474,41.8345,0.1870,48,C3,130.813,71,0.5623
41.4965,41.9042,0.4076,51,D#3,155.563,53,0.4206
41.3340,41.6591,0.3251,55,G3,195.998,88,0.6913
41.1598,41.4269,0.2670,53,F3,174.614,67,0.5278
40.9741,41.1482,0.1741,51,D#3,155.563,48,0.3760
40.6490,41.2991,0.6502,60,C4,261.626,61,0.4783
40.1498,40.8464,0.6966,57,A3,220.000,64,0.5006
40.1381,40.6490,0.5108,60,C4,261.626,66,0.5167
38.9294,39.5099,0.5805,60,C4,261.626,48,0.3793
38.9294,39.6492,0.7198,48,C3,130.813,53,0.4208
38.6392,39.5331,0.8940,55,G3,195.998,73,0.5780
37.9426,38.9294,0.9868,60,C4,261.626,74,0.5854
37.4305,38.1516,0.7211,57,A3,220.000,89,0.7024
36.0140,37.4305,1.4164,57,A3,220.000,82,0.6421
35.5135,35.7573,0.2438,62,D4,293.665,47,0.3663
35.1768,35.5251,0.3483,60,C4,261.626,84,0.6581
34.6428,35.8051,1.1623,57,A3,220.000,75,0.5885
34.1319,35.1768,1.0449,60,C4,261.626,68,0.5332
33.7836,34.0623,0.2786,63,D#4,311.127,60,0.4705
33.7836,33.9462,0.1625,55,G3,195.998,35,0.2721
33.4341,33.6779,0.2438,55,G3,195.998,51,0.4044
33.2947,33.3760,0.0813,74,D5,587.330,39,0.3078
33.2947,33.7720,0.4773,62,D4,293.665,76,0.5973
33.1206,34.3409,1.2203,51,D#3,155.563,56,0.4409
32.9697,33.1206,0.1509,65,F4,349.228,60,0.4718
32.9697,33.1786,0.2090,55,G3,195.998,52,0.4133
32.7955,32.9697,0.1741,65,F4,349.228,47,0.3712
32.4356,32.7723,0.3367,60,C4,261.626,81,0.6406
