start_s,end_s,duration_s,pitch_midi,pitch_name,pitch_hz,velocity,confidence
82.0075,82.1932,0.1858,64,E4,329.628,44,0.3435
32.4936,33.4224,0.9288,48,C3,130.813,42,0.3299
30.9715,31.3662,0.3947,65,F4,349.228,43,0.3409
51.6630,51.7674,0.1045,48,C3,130.813,45,0.3541
47.2473,47.5027,0.2554,65,F4,349.228,41,0.3262
48.4096,48.5257,0.1161,48,C3,130.813,44,0.3461
68.3103,68.5541,0.2438,45,A2,110.000,43,0.3416
14.3821,14.5447,0.1625,43,G2,97.999,42,0.3346
70.7381,70.8658,0.1277,38,D2,73.416,44,0.3431
29.4957,29.5654,0.0697,71,B4,493.883,43,0.3385
49.7460,49.8389,0.0929,53,F3,174.614,43,0.3410
52.9633,53.0445,0.0813,65,F4,349.228,43,0.3419
8.3875,8.4688,0.0813,68,G#4,415.305,43,0.3413
11.6744,11.9066,0.2322,49,C#3,138.591,39,0.3040
50.5471,50.8374,0.2902,48,C3,130.813,43,0.3362
10.8269,10.9082,0.0813,67,G4,391.995,43,0.3368
83.4239,83.5064,0.0826,48,C3,130.813,42,0.3318
71.5869,71.6682,0.0813,48,C3,130.813,42,0.3331
23.0019,23.4547,0.4528,48,C3,130.813,41,0.3210
52.5453,52.6266,0.0813,71,B4,493.883,42,0.3342
6.2848,6.4242,0.1393,55,G3,195.998,42,0.3344
59.8067,59.8880,0.0813,71,B4,493.883,42,0.3320
75.4079,75.4904,0.0826,53,F3,174.614,41,0.3229
22.9554,23.0715,0.1161,45,A2,110.000,41,0.3259
34.8401,34.9446,0.1045,53,F3,174.614,42,0.3306
45.2607,45.3536,0.0929,55,G3,195.998,39,0.3092
51.7791,51.8719,0.0929,65,F4,349.228,43,0.3351
31.8319,31.9828,0.1509,48,C3,130.813,41,0.3223
61.5133,61.5843,0.0709,65,F4,349.228,41,0.3250
60.9561,61.1418,0.1858,53,F3,174.614,41,0.3228
9.5137,9.5950,0.0813,43,G2,97.999,41,0.3242
30.7393,30.8205,0.0813,48,C3,130.813,41,0.3203
12.7206,12.8135,0.0929,62,D4,293.665,41,0.3219
36.8151,36.8964,0.0813,38,D2,73.416,41,0.3213
10.6412,10.8617,0.2206,43,G2,97.999,38,0.3024
79.8235,80.0441,0.2206,69,A4,440.000,36,0.2799
33.7243,33.7836,0.0593,52,E3,164.814,40,0.3183
48.7347,48.8159,0.0813,65,F4,349.228,40,0.3125
44.1229,44.1926,0.0697,48,C3,130.813,39,0.3100
11.0707,11.2100,0.1393,43,G2,97.999,38,0.3022
